activity,location,distanceHome,showActuation,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class
Unknown,Other,0,False,1526142230,-1.0,0,8,not locked,0,Saturday,1043,2018-05-12 17:23:50+00:00,awake
Unknown,Other,0,False,1526142230,-1.0,0,8,not locked,0,Saturday,1043,2018-05-12 17:23:50+00:00,awake
Unknown,Other,0,False,1526142258,-1.0,0,8,not locked,0,Saturday,1044,2018-05-12 17:24:18+00:00,awake
Unknown,Other,0,False,1526142288,-1.0,5943,8,not locked,0,Saturday,1044,2018-05-12 17:24:48+00:00,awake
Unknown,Other,0,False,1526142348,-1.0,28215,8,not locked,0,Saturday,1045,2018-05-12 17:25:48+00:00,awake
Unknown,Other,0,False,1526142378,-1.0,28215,8,not locked,0,Saturday,1046,2018-05-12 17:26:18+00:00,awake
Unknown,Other,0,False,1526142408,-1.0,2410,8,not locked,0,Saturday,1046,2018-05-12 17:26:48+00:00,awake
Tilting,Other,0,False,1526142438,-1.0,2410,0,not locked,0,Saturday,1047,2018-05-12 17:27:18+00:00,awake
Exercise,Other,0,False,1526142468,-1.0,20178,0,not locked,0,Saturday,1047,2018-05-12 17:27:48+00:00,awake
Exercise,Other,0,False,1526142499,-1.0,20178,0,not locked,0,Saturday,1048,2018-05-12 17:28:19+00:00,awake
In vehicle,Other,0,False,1526142529,-1.0,21635,0,not locked,0,Saturday,1048,2018-05-12 17:28:49+00:00,awake
In vehicle,Other,0,False,1526142559,-1.0,21635,8,not locked,0,Saturday,1049,2018-05-12 17:29:19+00:00,awake
In vehicle,Other,0,False,1526142589,-1.0,2462,8,not locked,0,Saturday,1049,2018-05-12 17:29:49+00:00,awake
In vehicle,Other,0,False,1526142619,-1.0,2462,8,not locked,0,Saturday,1050,2018-05-12 17:30:19+00:00,awake
In vehicle,House,0,False,1526142710,-1.0,6697,8,not locked,0,Saturday,1051,2018-05-12 17:31:50+00:00,awake
Still,House,0,False,1526142740,-1.0,6697,8,not locked,0,Saturday,1052,2018-05-12 17:32:20+00:00,awake
In vehicle,House,0,False,1526142860,-1.0,0,8,not locked,0,Saturday,1054,2018-05-12 17:34:20+00:00,awake
In vehicle,House,0,False,1526142890,-1.0,0,8,not locked,0,Saturday,1054,2018-05-12 17:34:50+00:00,awake
In vehicle,House,0,False,1526142920,-1.0,0,8,not locked,0,Saturday,1055,2018-05-12 17:35:20+00:00,awake
In vehicle,House,0,False,1526142950,-1.0,0,8,not locked,0,Saturday,1055,2018-05-12 17:35:50+00:00,awake
In vehicle,House,0,False,1526142980,-1.0,0,8,not locked,0,Saturday,1056,2018-05-12 17:36:20+00:00,awake
In vehicle,House,0,False,1526143010,-1.0,0,8,not locked,0,Saturday,1056,2018-05-12 17:36:50+00:00,awake
In vehicle,House,0,False,1526143040,-1.0,0,8,not locked,0,Saturday,1057,2018-05-12 17:37:20+00:00,awake
Unknown,House,0,False,1526143070,-1.0,0,8,not locked,0,Saturday,1057,2018-05-12 17:37:50+00:00,awake
In vehicle,House,0,False,1526143239,-1.0,0,8,locked,0,Saturday,1060,2018-05-12 17:40:39+00:00,awake
In vehicle,Other,0,False,1526143472,-1.0,0,8,not locked,0,Saturday,1064,2018-05-12 17:44:32+00:00,awake
In vehicle,Other,0,False,1526143472,-1.0,0,8,not locked,0,Saturday,1064,2018-05-12 17:44:32+00:00,awake
In vehicle,Other,0,False,1526143472,-1.0,0,8,not locked,0,Saturday,1064,2018-05-12 17:44:32+00:00,awake
In vehicle,Other,0,False,1526143472,-1.0,0,8,not locked,0,Saturday,1064,2018-05-12 17:44:32+00:00,awake
Exercise,Other,0,False,1526143594,-1.0,0,8,not locked,0,Saturday,1066,2018-05-12 17:46:34+00:00,awake
Exercise,Other,0,False,1526143624,-1.0,0,8,not locked,0,Saturday,1067,2018-05-12 17:47:04+00:00,awake
Unknown,Other,0,False,1526143655,-1.0,0,8,not locked,0,Saturday,1067,2018-05-12 17:47:35+00:00,awake
Still,Other,0,False,1526143685,-1.0,0,8,not locked,0,Saturday,1068,2018-05-12 17:48:05+00:00,awake
Still,Other,0,False,1526143715,-1.0,0,8,not locked,0,Saturday,1068,2018-05-12 17:48:35+00:00,awake
Unknown,Other,0,False,1526143745,-1.0,0,8,not locked,0,Saturday,1069,2018-05-12 17:49:05+00:00,awake
Still,Other,0,False,1526143775,-1.0,0,8,not locked,0,Saturday,1069,2018-05-12 17:49:35+00:00,awake
Still,Other,0,False,1526143805,-1.0,0,8,not locked,0,Saturday,1070,2018-05-12 17:50:05+00:00,awake
Still,Other,0,False,1526143835,-1.0,0,8,not locked,0,Saturday,1070,2018-05-12 17:50:35+00:00,awake
Still,Other,0,False,1526143865,-1.0,0,8,not locked,0,Saturday,1071,2018-05-12 17:51:05+00:00,awake
Still,Other,0,False,1526143895,-1.0,0,8,not locked,0,Saturday,1071,2018-05-12 17:51:35+00:00,awake
Still,Other,0,False,1526143925,-1.0,0,8,not locked,0,Saturday,1072,2018-05-12 17:52:05+00:00,awake
Still,Other,0,False,1526143955,-1.0,0,8,not locked,0,Saturday,1072,2018-05-12 17:52:35+00:00,awake
Still,Other,0,False,1526143985,-1.0,0,8,not locked,0,Saturday,1073,2018-05-12 17:53:05+00:00,awake
Still,Other,0,False,1526144015,-1.0,0,8,not locked,0,Saturday,1073,2018-05-12 17:53:35+00:00,awake
Unknown,Other,0,False,1526144046,-1.0,0,8,not locked,0,Saturday,1074,2018-05-12 17:54:06+00:00,awake
Unknown,Other,0,False,1526144076,-1.0,0,8,not locked,0,Saturday,1074,2018-05-12 17:54:36+00:00,awake
Still,Other,0,False,1526144106,-1.0,0,0,not locked,0,Saturday,1075,2018-05-12 17:55:06+00:00,awake
Still,Other,0,False,1526144141,-1.0,0,8,not locked,0,Saturday,1075,2018-05-12 17:55:41+00:00,awake
Still,Other,0,False,1526144171,-1.0,0,8,not locked,0,Saturday,1076,2018-05-12 17:56:11+00:00,awake
Unknown,Other,0,False,1526144201,-1.0,0,8,not locked,0,Saturday,1076,2018-05-12 17:56:41+00:00,awake
Still,Other,0,False,1526144291,-1.0,0,8,not locked,0,Saturday,1078,2018-05-12 17:58:11+00:00,awake
Still,Other,0,False,1526144382,-1.0,0,8,not locked,0,Saturday,1079,2018-05-12 17:59:42+00:00,awake
Still,Other,0,False,1526144382,-1.0,0,8,not locked,0,Saturday,1079,2018-05-12 17:59:42+00:00,awake
Still,Other,0,False,1526144412,-1.0,0,8,not locked,0,Saturday,1080,2018-05-12 18:00:12+00:00,awake
Still,Other,0,False,1526144412,-1.0,0,8,not locked,0,Saturday,1080,2018-05-12 18:00:12+00:00,awake
Still,Other,0,False,1526144536,-1.0,0,8,not locked,0,Saturday,1082,2018-05-12 18:02:16+00:00,awake
Tilting,Other,0,False,1526143502,-1.0,0,0,not locked,0,Saturday,1065,2018-05-12 17:45:02+00:00,awake
Unknown,Other,0,False,1526143534,-1.0,0,8,not locked,0,Saturday,1065,2018-05-12 17:45:34+00:00,awake
Unknown,Other,0,False,1526143564,-1.0,0,8,not locked,0,Saturday,1066,2018-05-12 17:46:04+00:00,awake
Still,Other,0,False,1526144596,-1.0,0,8,not locked,0,Saturday,1083,2018-05-12 18:03:16+00:00,awake
Exercise,Other,0,False,1526144686,-1.0,0,8,not locked,0,Saturday,1084,2018-05-12 18:04:46+00:00,awake
Still,Other,0,False,1526144716,-1.0,0,8,not locked,0,Saturday,1085,2018-05-12 18:05:16+00:00,awake
Exercise,Other,0,False,1526144746,-1.0,0,8,not locked,0,Saturday,1085,2018-05-12 18:05:46+00:00,awake
Unknown,Other,0,False,1526144776,-1.0,0,8,not locked,0,Saturday,1086,2018-05-12 18:06:16+00:00,awake
Still,Other,0,False,1526144806,-1.0,0,8,not locked,0,Saturday,1086,2018-05-12 18:06:46+00:00,awake
Still,Other,0,False,1526144837,-1.0,0,8,not locked,0,Saturday,1087,2018-05-12 18:07:17+00:00,awake
Still,Other,0,False,1526144867,-1.0,0,8,not locked,0,Saturday,1087,2018-05-12 18:07:47+00:00,awake
Still,Other,0,False,1526144897,-1.0,0,8,not locked,0,Saturday,1088,2018-05-12 18:08:17+00:00,awake
Still,Other,0,False,1526144927,-1.0,0,8,not locked,0,Saturday,1088,2018-05-12 18:08:47+00:00,awake
Still,Other,0,False,1526144957,-1.0,0,8,not locked,0,Saturday,1089,2018-05-12 18:09:17+00:00,awake
Exercise,Other,0,False,1526144987,-1.0,0,8,not locked,0,Saturday,1089,2018-05-12 18:09:47+00:00,awake
Unknown,Other,0,False,1526145017,-1.0,0,8,not locked,0,Saturday,1090,2018-05-12 18:10:17+00:00,awake
Still,Other,0,False,1526145047,-1.0,0,8,not locked,0,Saturday,1090,2018-05-12 18:10:47+00:00,awake
Still,Other,0,False,1526145077,-1.0,0,8,not locked,0,Saturday,1091,2018-05-12 18:11:17+00:00,awake
Still,Other,0,False,1526145107,-1.0,0,8,not locked,0,Saturday,1091,2018-05-12 18:11:47+00:00,awake
In vehicle,Other,0,False,1526145137,-1.0,0,8,not locked,0,Saturday,1092,2018-05-12 18:12:17+00:00,awake
In vehicle,Other,0,False,1526145167,-1.0,0,8,not locked,0,Saturday,1092,2018-05-12 18:12:47+00:00,awake
In vehicle,Other,0,False,1526145197,-1.0,0,8,not locked,0,Saturday,1093,2018-05-12 18:13:17+00:00,awake
In vehicle,Other,0,False,1526145228,-1.0,0,8,not locked,0,Saturday,1093,2018-05-12 18:13:48+00:00,awake
In vehicle,Other,0,False,1526145258,-1.0,0,8,not locked,0,Saturday,1094,2018-05-12 18:14:18+00:00,awake
Still,Other,0,False,1526145288,-1.0,0,8,not locked,0,Saturday,1094,2018-05-12 18:14:48+00:00,awake
Exercise,Other,0,False,1526145348,-1.0,0,8,not locked,0,Saturday,1095,2018-05-12 18:15:48+00:00,awake
Exercise,Other,0,False,1526145378,-1.0,0,8,not locked,0,Saturday,1096,2018-05-12 18:16:18+00:00,awake
Still,Other,0,False,1526145408,-1.0,0,8,not locked,0,Saturday,1096,2018-05-12 18:16:48+00:00,awake
Still,Other,0,False,1526145528,-1.0,0,8,not locked,0,Saturday,1098,2018-05-12 18:18:48+00:00,awake
Unknown,Other,0,False,1526145558,-1.0,0,8,not locked,0,Saturday,1099,2018-05-12 18:19:18+00:00,awake
Unknown,Other,0,False,1526145618,-1.0,0,8,not locked,0,Saturday,1100,2018-05-12 18:20:18+00:00,awake
In vehicle,Other,0,False,1526145648,-1.0,0,8,not locked,0,Saturday,1100,2018-05-12 18:20:48+00:00,awake
In vehicle,Other,0,False,1526145709,-1.0,0,8,not locked,0,Saturday,1101,2018-05-12 18:21:49+00:00,awake
Unknown,Other,0,False,1526145739,-1.0,0,8,not locked,0,Saturday,1102,2018-05-12 18:22:19+00:00,awake
Unknown,Other,0,False,1526145769,-1.0,0,8,not locked,0,Saturday,1102,2018-05-12 18:22:49+00:00,awake
Unknown,Other,0,False,1526145799,-1.0,0,8,not locked,0,Saturday,1103,2018-05-12 18:23:19+00:00,awake
Unknown,Other,0,False,1526145829,-1.0,0,8,not locked,0,Saturday,1103,2018-05-12 18:23:49+00:00,awake
Unknown,Other,0,False,1526145859,-1.0,0,8,not locked,0,Saturday,1104,2018-05-12 18:24:19+00:00,awake
Unknown,Other,0,False,1526145919,-1.0,0,8,not locked,0,Saturday,1105,2018-05-12 18:25:19+00:00,awake
Unknown,Other,0,False,1526145949,-1.0,0,8,not locked,0,Saturday,1105,2018-05-12 18:25:49+00:00,awake
Unknown,Other,0,False,1526146391,-1.0,0,8,not locked,0,Saturday,1113,2018-05-12 18:33:11+00:00,awake
Unknown,Other,0,False,1526150935,-1.0,0,8,not locked,0,Saturday,1188,2018-05-12 19:48:55+00:00,awake
Still,House,0,False,1526150965,-1.0,5401,8,not locked,0,Saturday,1189,2018-05-12 19:49:25+00:00,awake
Still,House,0,False,1526150995,-1.0,5401,8,not locked,0,Saturday,1189,2018-05-12 19:49:55+00:00,awake
Still,House,0,False,1526151065,-1.0,6444,8,not locked,0,Saturday,1191,2018-05-12 19:51:05+00:00,awake
Still,House,0,False,1526151246,-1.0,24506,8,not locked,0,Saturday,1194,2018-05-12 19:54:06+00:00,awake
Still,House,0,False,1526151336,-1.0,6558,8,not locked,0,Saturday,1195,2018-05-12 19:55:36+00:00,awake
Still,Other,0,False,1526144442,-1.0,0,0,not locked,0,Saturday,1080,2018-05-12 18:00:42+00:00,awake
Still,Other,0,False,1526144476,-1.0,0,0,not locked,0,Saturday,1081,2018-05-12 18:01:16+00:00,awake
Still,Other,0,False,1526144476,-1.0,0,0,not locked,0,Saturday,1081,2018-05-12 18:01:16+00:00,awake
Still,Other,0,False,1526144506,-1.0,0,0,not locked,0,Saturday,1081,2018-05-12 18:01:46+00:00,awake
Still,House,0,False,1526151366,-1.0,6558,8,not locked,0,Saturday,1196,2018-05-12 19:56:06+00:00,awake
Still,House,0,False,1526151396,-1.0,2836,8,not locked,0,Saturday,1196,2018-05-12 19:56:36+00:00,awake
Still,House,0,False,1526151427,-1.0,2836,8,not locked,0,Saturday,1197,2018-05-12 19:57:07+00:00,awake
Still,House,0,False,1526151487,-1.0,2098,8,not locked,0,Saturday,1198,2018-05-12 19:58:07+00:00,awake
Still,House,0,False,1526151517,-1.0,9044,0,not locked,0,Saturday,1198,2018-05-12 19:58:37+00:00,awake
Still,House,0,False,1526151547,-1.0,9044,8,not locked,0,Saturday,1199,2018-05-12 19:59:07+00:00,awake
Unknown,House,0,False,1526151577,-1.0,8688,8,not locked,0,Saturday,1199,2018-05-12 19:59:37+00:00,awake
Still,House,0,False,1526151607,-1.0,8688,8,not locked,0,Saturday,1200,2018-05-12 20:00:07+00:00,awake
Still,House,0,False,1526151637,-1.0,860,8,not locked,0,Saturday,1200,2018-05-12 20:00:37+00:00,awake
Still,House,0,False,1526151697,-1.0,30782,8,not locked,0,Saturday,1201,2018-05-12 20:01:37+00:00,awake
Still,House,0,False,1526151728,-1.0,30782,8,not locked,0,Saturday,1202,2018-05-12 20:02:08+00:00,awake
Still,House,0,False,1526151757,-1.0,13553,8,not locked,0,Saturday,1202,2018-05-12 20:02:37+00:00,awake
Still,House,0,False,1526151788,-1.0,13553,8,not locked,0,Saturday,1203,2018-05-12 20:03:08+00:00,awake
Still,House,0,False,1526151818,-1.0,30438,8,not locked,0,Saturday,1203,2018-05-12 20:03:38+00:00,awake
Still,House,0,False,1526151848,-1.0,30438,8,not locked,0,Saturday,1204,2018-05-12 20:04:08+00:00,awake
Still,House,0,False,1526151878,-1.0,21265,8,not locked,0,Saturday,1204,2018-05-12 20:04:38+00:00,awake
Still,House,0,False,1526151908,-1.0,21265,8,not locked,0,Saturday,1205,2018-05-12 20:05:08+00:00,awake
Still,House,0,False,1526151938,-1.0,13317,8,not locked,0,Saturday,1205,2018-05-12 20:05:38+00:00,awake
Still,House,0,False,1526151968,-1.0,13317,8,not locked,0,Saturday,1206,2018-05-12 20:06:08+00:00,awake
Still,House,0,False,1526151998,-1.0,2481,8,not locked,0,Saturday,1206,2018-05-12 20:06:38+00:00,awake
Still,House,0,False,1526152058,-1.0,1467,8,not locked,0,Saturday,1207,2018-05-12 20:07:38+00:00,awake
Still,House,0,False,1526152088,-1.0,1467,8,not locked,0,Saturday,1208,2018-05-12 20:08:08+00:00,awake
Still,House,0,False,1526152119,-1.0,164,8,not locked,0,Saturday,1208,2018-05-12 20:08:39+00:00,awake
Still,House,0,False,1526152164,-1.0,164,8,locked,0,Saturday,1209,2018-05-12 20:09:24+00:00,awake
Still,House,0,False,1526152194,-1.0,132,8,locked,0,Saturday,1209,2018-05-12 20:09:54+00:00,awake
Still,House,0,False,1526152291,-1.0,132,8,locked,0,Saturday,1211,2018-05-12 20:11:31+00:00,awake
Still,House,0,False,1526152320,-1.0,102,8,locked,0,Saturday,1212,2018-05-12 20:12:00+00:00,awake
Still,House,0,False,1526152398,-1.0,102,8,locked,0,Saturday,1213,2018-05-12 20:13:18+00:00,awake
Still,House,0,False,1526152526,-1.0,262,8,locked,0,Saturday,1215,2018-05-12 20:15:26+00:00,awake
Still,House,0,False,1526152556,-1.0,266,8,locked,0,Saturday,1215,2018-05-12 20:15:56+00:00,awake
Still,House,0,False,1526152672,-1.0,266,8,locked,0,Saturday,1217,2018-05-12 20:17:52+00:00,awake
Still,House,0,False,1526152702,-1.0,184,8,locked,0,Saturday,1218,2018-05-12 20:18:22+00:00,awake
Still,House,0,False,1526152851,-1.0,266,8,locked,0,Saturday,1220,2018-05-12 20:20:51+00:00,awake
Still,House,0,False,1526152905,-1.0,266,8,locked,0,Saturday,1221,2018-05-12 20:21:45+00:00,awake
Still,House,0,False,1526152935,-1.0,398,8,locked,0,Saturday,1222,2018-05-12 20:22:15+00:00,awake
Still,House,0,False,1526153007,-1.0,398,8,locked,0,Saturday,1223,2018-05-12 20:23:27+00:00,awake
Still,House,0,False,1526153037,-1.0,425,8,locked,0,Saturday,1223,2018-05-12 20:23:57+00:00,awake
Still,House,0,False,1526153106,-1.0,425,8,locked,0,Saturday,1225,2018-05-12 20:25:06+00:00,awake
Still,House,0,False,1526153136,-1.0,132,8,locked,0,Saturday,1225,2018-05-12 20:25:36+00:00,awake
Still,House,0,False,1526153240,-1.0,132,8,locked,0,Saturday,1227,2018-05-12 20:27:20+00:00,awake
Still,House,0,False,1526153270,-1.0,620,8,locked,0,Saturday,1227,2018-05-12 20:27:50+00:00,awake
Still,House,0,False,1526153374,-1.0,620,8,locked,0,Saturday,1229,2018-05-12 20:29:34+00:00,awake
Still,House,0,False,1526153404,-1.0,102,8,locked,0,Saturday,1230,2018-05-12 20:30:04+00:00,awake
Still,House,0,False,1526153509,-1.0,102,8,locked,0,Saturday,1231,2018-05-12 20:31:49+00:00,awake
Still,House,0,False,1526153539,-1.0,199,8,locked,0,Saturday,1232,2018-05-12 20:32:19+00:00,awake
Still,House,0,False,1526153680,-1.0,199,8,locked,0,Saturday,1234,2018-05-12 20:34:40+00:00,awake
Still,House,0,False,1526153710,-1.0,471,8,locked,0,Saturday,1235,2018-05-12 20:35:10+00:00,awake
Still,House,0,False,1526153821,-1.0,471,8,locked,0,Saturday,1237,2018-05-12 20:37:01+00:00,awake
Still,House,0,False,1526153851,-1.0,102,8,locked,0,Saturday,1237,2018-05-12 20:37:31+00:00,awake
Still,House,0,False,1526153968,-1.0,102,8,locked,0,Saturday,1239,2018-05-12 20:39:28+00:00,awake
Still,House,0,False,1526153999,-1.0,174,8,locked,0,Saturday,1239,2018-05-12 20:39:59+00:00,awake
Still,House,0,False,1526154099,-1.0,174,8,locked,0,Saturday,1241,2018-05-12 20:41:39+00:00,awake
Still,House,0,False,1526154129,-1.0,122,8,locked,0,Saturday,1242,2018-05-12 20:42:09+00:00,awake
Still,House,0,False,1526154213,-1.0,122,8,locked,0,Saturday,1243,2018-05-12 20:43:33+00:00,awake
Still,House,0,False,1526154243,-1.0,122,8,locked,0,Saturday,1244,2018-05-12 20:44:03+00:00,awake
Still,House,0,False,1526154274,-1.0,122,8,locked,0,Saturday,1244,2018-05-12 20:44:34+00:00,awake
Still,House,0,False,1526154304,-1.0,244,8,locked,0,Saturday,1245,2018-05-12 20:45:04+00:00,awake
Still,House,0,False,1526154444,-1.0,244,8,locked,0,Saturday,1247,2018-05-12 20:47:24+00:00,awake
Still,House,0,False,1526154474,-1.0,290,8,locked,0,Saturday,1247,2018-05-12 20:47:54+00:00,awake
Still,House,0,False,1526154611,-1.0,290,8,locked,0,Saturday,1250,2018-05-12 20:50:11+00:00,awake
Still,House,0,False,1526154641,-1.0,132,8,locked,0,Saturday,1250,2018-05-12 20:50:41+00:00,awake
Still,House,0,False,1526154750,-1.0,132,8,locked,0,Saturday,1252,2018-05-12 20:52:30+00:00,awake
Still,House,0,False,1526154780,-1.0,154,8,locked,0,Saturday,1253,2018-05-12 20:53:00+00:00,awake
Still,House,0,False,1526154899,-1.0,154,8,locked,0,Saturday,1254,2018-05-12 20:54:59+00:00,awake
Tilting,House,0,False,1526154929,-1.0,2805,8,not locked,0,Saturday,1255,2018-05-12 20:55:29+00:00,awake
Still,House,0,False,1526154959,-1.0,2805,8,not locked,0,Saturday,1255,2018-05-12 20:55:59+00:00,awake
Still,House,0,False,1526154989,-1.0,2298,8,not locked,0,Saturday,1256,2018-05-12 20:56:29+00:00,awake
Still,House,0,False,1526155019,-1.0,2298,8,not locked,0,Saturday,1256,2018-05-12 20:56:59+00:00,awake
Still,House,0,False,1526155079,-1.0,521,8,not locked,0,Saturday,1257,2018-05-12 20:57:59+00:00,awake
Still,House,0,False,1526155140,-1.0,1942,8,not locked,0,Saturday,1259,2018-05-12 20:59:00+00:00,awake
Still,House,0,False,1526155230,-1.0,1500,8,not locked,0,Saturday,1260,2018-05-12 21:00:30+00:00,awake
Still,House,0,False,1526155531,-1.0,13908,8,not locked,0,Saturday,1265,2018-05-12 21:05:31+00:00,awake
Tilting,House,0,False,1526155591,-1.0,389,8,not locked,0,Saturday,1266,2018-05-12 21:06:31+00:00,awake
Still,House,0,False,1526155741,-1.0,30791,8,not locked,0,Saturday,1269,2018-05-12 21:09:01+00:00,awake
Still,House,0,False,1526155891,-1.0,194,8,not locked,0,Saturday,1271,2018-05-12 21:11:31+00:00,awake
Still,House,0,False,1526156012,-1.0,3211,8,not locked,0,Saturday,1273,2018-05-12 21:13:32+00:00,awake
Still,House,0,False,1526156044,-1.0,3211,8,not locked,0,Saturday,1274,2018-05-12 21:14:04+00:00,awake
Still,House,0,False,1526156074,-1.0,2761,8,locked,0,Saturday,1274,2018-05-12 21:14:34+00:00,awake
Still,House,0,False,1526156152,-1.0,2761,8,locked,0,Saturday,1275,2018-05-12 21:15:52+00:00,awake
Tilting,House,0,False,1526156182,-1.0,11511,8,locked,0,Saturday,1276,2018-05-12 21:16:22+00:00,awake
Still,House,0,False,1526156212,-1.0,11511,8,not locked,0,Saturday,1276,2018-05-12 21:16:52+00:00,awake
Still,House,0,False,1526156242,-1.0,18963,8,not locked,0,Saturday,1277,2018-05-12 21:17:22+00:00,awake
Still,House,0,False,1526156272,-1.0,18963,8,not locked,0,Saturday,1277,2018-05-12 21:17:52+00:00,awake
Still,House,0,False,1526156303,-1.0,541,8,not locked,0,Saturday,1278,2018-05-12 21:18:23+00:00,awake
Still,House,0,False,1526156333,-1.0,541,8,not locked,0,Saturday,1278,2018-05-12 21:18:53+00:00,awake
Still,House,0,False,1526156363,-1.0,15698,8,not locked,0,Saturday,1279,2018-05-12 21:19:23+00:00,awake
Tilting,House,0,False,1526156393,-1.0,15698,8,not locked,0,Saturday,1279,2018-05-12 21:19:53+00:00,awake
Still,House,0,False,1526156423,-1.0,2169,8,not locked,0,Saturday,1280,2018-05-12 21:20:23+00:00,awake
Unknown,House,0,False,1526156453,-1.0,2169,8,not locked,0,Saturday,1280,2018-05-12 21:20:53+00:00,awake
Still,House,0,False,1526156483,-1.0,2412,8,not locked,0,Saturday,1281,2018-05-12 21:21:23+00:00,awake
Still,House,0,False,1526156513,-1.0,2412,8,not locked,0,Saturday,1281,2018-05-12 21:21:53+00:00,awake
Still,House,0,False,1526156543,-1.0,214,8,not locked,0,Saturday,1282,2018-05-12 21:22:23+00:00,awake
Still,House,0,False,1526156573,-1.0,214,8,not locked,0,Saturday,1282,2018-05-12 21:22:53+00:00,awake
Still,House,0,False,1526156603,-1.0,9651,8,not locked,0,Saturday,1283,2018-05-12 21:23:23+00:00,awake
Still,House,0,False,1526156664,-1.0,660,8,not locked,0,Saturday,1284,2018-05-12 21:24:24+00:00,awake
Still,House,0,False,1526156694,-1.0,660,8,not locked,0,Saturday,1284,2018-05-12 21:24:54+00:00,awake
Still,House,0,False,1526156724,-1.0,30412,8,not locked,0,Saturday,1285,2018-05-12 21:25:24+00:00,awake
Still,House,0,False,1526156784,-1.0,194,8,not locked,0,Saturday,1286,2018-05-12 21:26:24+00:00,awake
Still,House,0,False,1526156814,-1.0,194,8,not locked,0,Saturday,1286,2018-05-12 21:26:54+00:00,awake
Still,House,0,False,1526156844,-1.0,122,8,not locked,0,Saturday,1287,2018-05-12 21:27:24+00:00,awake
Still,House,0,False,1526156874,-1.0,122,8,not locked,0,Saturday,1287,2018-05-12 21:27:54+00:00,awake
Still,House,0,False,1526156904,-1.0,92,8,not locked,0,Saturday,1288,2018-05-12 21:28:24+00:00,awake
Still,House,0,False,1526156934,-1.0,92,8,not locked,0,Saturday,1288,2018-05-12 21:28:54+00:00,awake
Still,House,0,False,1526156964,-1.0,82,8,not locked,0,Saturday,1289,2018-05-12 21:29:24+00:00,awake
Still,House,0,False,1526156994,-1.0,82,8,not locked,0,Saturday,1289,2018-05-12 21:29:54+00:00,awake
Still,House,0,False,1526157025,-1.0,144,8,not locked,0,Saturday,1290,2018-05-12 21:30:25+00:00,awake
Still,House,0,False,1526157111,-1.0,144,8,locked,0,Saturday,1291,2018-05-12 21:31:51+00:00,awake
Still,House,0,False,1526157141,-1.0,144,8,locked,0,Saturday,1292,2018-05-12 21:32:21+00:00,awake
Still,House,0,False,1526157286,-1.0,144,8,locked,0,Saturday,1294,2018-05-12 21:34:46+00:00,awake
Still,House,0,False,1526157316,-1.0,102,8,locked,0,Saturday,1295,2018-05-12 21:35:16+00:00,awake
Still,House,0,False,1526157466,-1.0,102,8,locked,0,Saturday,1297,2018-05-12 21:37:46+00:00,awake
Still,House,0,False,1526157496,-1.0,122,8,locked,0,Saturday,1298,2018-05-12 21:38:16+00:00,awake
Still,House,0,False,1526157678,-1.0,132,8,locked,0,Saturday,1301,2018-05-12 21:41:18+00:00,awake
Still,House,0,False,1526157794,-1.0,132,8,locked,0,Saturday,1303,2018-05-12 21:43:14+00:00,awake
Still,House,0,False,1526157824,-1.0,194,8,locked,0,Saturday,1303,2018-05-12 21:43:44+00:00,awake
Still,House,0,False,1526157942,-1.0,194,8,locked,0,Saturday,1305,2018-05-12 21:45:42+00:00,awake
Still,House,0,False,1526157972,-1.0,2595,8,locked,0,Saturday,1306,2018-05-12 21:46:12+00:00,awake
Still,House,0,False,1526158066,-1.0,2595,8,locked,0,Saturday,1307,2018-05-12 21:47:46+00:00,awake
Still,House,0,False,1526158096,-1.0,290,8,locked,0,Saturday,1308,2018-05-12 21:48:16+00:00,awake
Still,House,0,False,1526158242,-1.0,290,8,locked,0,Saturday,1310,2018-05-12 21:50:42+00:00,awake
Still,House,0,False,1526158272,-1.0,21709,8,locked,0,Saturday,1311,2018-05-12 21:51:12+00:00,awake
Still,House,0,False,1526158396,-1.0,21709,8,locked,0,Saturday,1313,2018-05-12 21:53:16+00:00,awake
Still,House,0,False,1526158426,-1.0,19533,8,locked,0,Saturday,1313,2018-05-12 21:53:46+00:00,awake
Still,House,0,False,1526158507,-1.0,19533,8,locked,0,Saturday,1315,2018-05-12 21:55:07+00:00,awake
Exercise,House,0,False,1526158537,-1.0,30922,8,not locked,0,Saturday,1315,2018-05-12 21:55:37+00:00,awake
Still,House,0,False,1526158567,-1.0,30922,0,not locked,0,Saturday,1316,2018-05-12 21:56:07+00:00,awake
Exercise,House,0,False,1526158597,-1.0,20856,0,locked,0,Saturday,1316,2018-05-12 21:56:37+00:00,awake
Exercise,House,0,False,1526158631,-1.0,20856,8,locked,0,Saturday,1317,2018-05-12 21:57:11+00:00,awake
Exercise,House,0,False,1526158661,-1.0,13624,8,not locked,0,Saturday,1317,2018-05-12 21:57:41+00:00,awake
Still,House,0,False,1526158691,-1.0,13624,8,not locked,0,Saturday,1318,2018-05-12 21:58:11+00:00,awake
Unknown,House,0,False,1526158752,-1.0,3099,8,not locked,0,Saturday,1319,2018-05-12 21:59:12+00:00,awake
Still,House,0,False,1526158782,-1.0,17447,8,not locked,0,Saturday,1319,2018-05-12 21:59:42+00:00,awake
